鶥	鹛	méi	babbler (bird)
藍翅希鶥	蓝翅希鹛	lán chì xī méi	(bird species of China) blue-winged minla (Minla cyanouroptera)
褐胸噪鶥	褐胸噪鹛	hè xiōng zào méi	(bird species of China) grey laughingthrush (Garrulax maesi)
褐脅雀鶥	褐胁雀鹛	hè xié què méi	(bird species of China) rusty-capped fulvetta (Alcippe dubia)
褐臉雀鶥	褐脸雀鹛	hè liǎn què méi	(bird species of China) brown-cheeked fulvetta (Alcippe poioicephala)
褐頂雀鶥	褐顶雀鹛	hè dǐng què méi	(bird species of China) dusky fulvetta (Alcippe brunnea)
褐頭雀鶥	褐头雀鹛	hè tóu què méi	(bird species of China) grey-hooded fulvetta (Fulvetta cinereiceps)
褐頭鳳鶥	褐头凤鹛	hè tóu fèng méi	(bird species of China) Taiwan yuhina (Yuhina brunneiceps)
西南栗耳鳳鶥	西南栗耳凤鹛	xī nán lì ěr fèng méi	(bird species of China) striated yuhina (Yuhina castaniceps)
赤尾噪鶥	赤尾噪鹛	chì wěi zào méi	(bird species of China) red-tailed laughingthrush (Trochalopteron milnei)
路德雀鶥	路德雀鹛	Lù dé què méi	(bird species of China) Ludlow's fulvetta (Fulvetta ludlowi)
金眼鶥雀	金眼鹛雀	jīn yǎn méi què	(bird species of China) yellow-eyed babbler (Chrysomma sinense)
金翅噪鶥	金翅噪鹛	jīn chì zào méi	(bird species of China) Assam laughingthrush (Trochalopteron chrysopterum)
金胸雀鶥	金胸雀鹛	jīn xiōng què méi	(bird species of China) golden-breasted fulvetta (Lioparus chrysotis)
金頭穗鶥	金头穗鹛	jīn tóu suì méi	(bird species of China) golden babbler (Stachyridopsis chrysaea)
金額雀鶥	金额雀鹛	jīn é què méi	(bird species of China) golden-fronted fulvetta (Alcippe variegaticeps)
銀耳噪鶥	银耳噪鹛	yín ěr zào méi	(bird species of China) silver-eared laughingthrush (Trochalopteron melanostigma)
鏽臉鉤嘴鶥	锈脸钩嘴鹛	xiù liǎn gōu zuǐ méi	(bird species of China) rusty-cheeked scimitar babbler (Pomatorhinus erythrogenys)
鏽額斑翅鶥	锈额斑翅鹛	xiù é bān chì méi	(bird species of China) rusty-fronted barwing (Actinodura egertoni)
長嘴鉤嘴鶥	长嘴钩嘴鹛	cháng zuǐ gōu zuǐ méi	(bird species of China) large scimitar babbler (Pomatorhinus hypoleucos)
長嘴鷯鶥	长嘴鹩鹛	cháng zuǐ liáo méi	(bird species of China) long-billed wren-babbler (Rimator malacoptilus)
長尾奇鶥	长尾奇鹛	cháng wěi qí méi	(bird species of China) long-tailed sibia (Heterophasia picaoides)
長尾鷯鶥	长尾鹩鹛	cháng wěi liáo méi	(bird species of China) grey-bellied wren-babbler (Spelaeornis reptatus)
雜色噪鶥	杂色噪鹛	zá sè zào méi	(bird species of China) variegated laughingthrush (Trochalopteron variegatum)
靛冠噪鶥	靛冠噪鹛	diàn guān zào méi	(bird species of China) blue-crowned laughingthrush (Garrulax courtoisi)
領鶪鶥	领䴗鹛	lǐng jú méi	(bird species of China) collared babbler (Gampsorhynchus torquatus)
高山雀鶥	高山雀鹛	gāo shān què méi	(bird species of China) Chinese fulvetta (Fulvetta striaticollis)
鱗胸鷦鶥	鳞胸鹪鹛	lín xiōng jiāo méi	(bird species of China) scaly-breasted wren-babbler (Pnoepyga albiventer)
劍嘴鶥	剑嘴鹛	jiàn zuǐ méi	(bird species of China) slender-billed scimitar babbler (Pomatorhinus superciliaris)
麗星噪鶥	丽星噪鹛	lì xīng zào méi	(bird species of China) Bhutan laughingthrush (Trochalopteron imbricatum)
麗星鷯鶥	丽星鹩鹛	lì xīng liáo méi	(bird species of China) spotted elachura (Elachura formosa)
麗色噪鶥	丽色噪鹛	lì sè zào méi	(bird species of China) red-winged laughingthrush (Trochalopteron formosum)
麗色奇鶥	丽色奇鹛	lì sè qí méi	(bird species of China) beautiful sibia (Heterophasia pulchella)
黃喉噪鶥	黄喉噪鹛	huáng hóu zào méi	(bird species of China) yellow-throated laughingthrush (Garrulax galbanus)
黃喉雀鶥	黄喉雀鹛	huáng hóu què méi	(bird species of China) yellow-throated fulvetta (Alcippe cinerea)
黃痣藪鶥	黄痣薮鹛	huáng zhì sǒu méi	(bird species of China) Steere's liocichla (Liocichla steerii)
黃頸鳳鶥	黄颈凤鹛	huáng jǐng fèng méi	(bird species of China) whiskered yuhina (Yuhina flavicollis)
黑喉噪鶥	黑喉噪鹛	hēi hóu zào méi	(bird species of China) black-throated laughingthrush (Garrulax chinensis)
黑眉雀鶥	黑眉雀鹛	hēi méi què méi	(bird species of China) Huet's fulvetta (Alcippe hueti)
黑臉噪鶥	黑脸噪鹛	hēi liǎn zào méi	(bird species of China) masked laughingthrush (Garrulax perspicillatus)
黑頂噪鶥	黑顶噪鹛	hēi dǐng zào méi	(bird species of China) black-faced laughingthrush (Trochalopteron affine)
黑頂奇鶥	黑顶奇鹛	hēi dǐng qí méi	(bird species of China) black-headed sibia (Heterophasia desgodinsi)
黑領噪鶥	黑领噪鹛	hēi lǐng zào méi	(bird species of China) greater necklaced laughingthrush (Garrulax pectoralis)
黑頦穗鶥	黑颏穗鹛	hēi kē suì méi	(bird species of China) black-chinned babbler (Stachyridopsis pyrrhops)
黑頭奇鶥	黑头奇鹛	hēi tóu qí méi	(bird species of China) rufous sibia (Heterophasia capistrata)
黑頭穗鶥	黑头穗鹛	hēi tóu suì méi	(bird species of China) grey-throated babbler (Stachyris nigriceps)
黑額山噪鶥	黑额山噪鹛	hēi é shān zào méi	(bird species of China) snowy-cheeked laughingthrush (Garrulax sukatschewi)
黑額鳳鶥	黑额凤鹛	hēi é fèng méi	(bird species of China) black-chinned yuhina (Yuhina nigrimenta)
