聖	圣	shèng	holy/sacred/saint/sage
聖賢書	圣贤书	shèng xián shū	holy book
聖赫勒拿	圣赫勒拿	Shèng hè lēi ná	St Helena
聖赫勒拿島	圣赫勒拿岛	Shèng Hè lè ná Dǎo	Saint Helena
聖跡	圣迹	shèng jì	Holy relic/miracle
聖路易斯	圣路易斯	Shèng lù yì sī	St Louis, large city in eastern Missouri
聖躬	圣躬	shèng gōng	the Emperor's body/Holy body/the current reigning Emperor
聖雄	圣雄	shèng xióng	sage hero/refers to Mahatma Gandhi
聖露西亞	圣露西亚	Shèng Lù xī yà	Saint Lucia (Tw)
聖靈	圣灵	Shèng líng	Holy Ghost/Holy Spirit
聖靈降臨	圣灵降临	Shèng líng jiàng lín	Pentecost
聖餐	圣餐	shèng cān	Holy communion (of the Christian mass)/sacrament
聖餐檯	圣餐台	shèng cān tái	(Christian) altar
聖馬利諾	圣马利诺	Shèng Mǎ lì nuò	San Marino (Tw)
聖馬力諾	圣马力诺	Shèng mǎ lì nuò	San Marino
聖馬洛	圣马洛	Shèng Mǎ luò	St Malo, town in Normandy
聖體	圣体	shèng tǐ	the Emperor's body/Jesus' body/communion wafer (in Christian mass)
聖體節	圣体节	Shèng tǐ jié	Corpus Christi (Catholic festival on second Thursday after Whit Sunday)
聖體血	圣体血	shèng tǐ xuè	the body and blood of Christ/Holy communion
荷屬聖馬丁	荷属圣马丁	Hé shǔ Shèng mǎ dīng	Sint Maarten, island country in the Caribbean
萬聖節	万圣节	Wàn shèng jié	All Saints (Christian festival)
萬聖節前夕	万圣节前夕	Wàn shèng jié Qián xī	All Saints' Eve/Halloween
葉聖陶	叶圣陶	Yè Shèng táo	Ye Shengtao (1894-1988), writer and editor, known esp. for children's books
衍聖公	衍圣公	Yǎn shèng gōng	hereditary title bestowed on Confucius' descendants
衍聖公府	衍圣公府	Yǎn shèng gōng fǔ	the official residence of Confucius' descendants at Qufu 曲阜, Shandong
詩聖	诗圣	shī shèng	"sage of poetry", epithet of Du Fu 杜甫[Dù Fǔ]
轉輪聖帝	转轮圣帝	Zhuǎn lún shèng dì	Chakravarti raja/emperor in Hindu mythology
轉輪聖王	转轮圣王	Zhuàn lún shèng Wáng	Chakravarti raja (Sanskrit: King of Kings)/emperor in Hindu mythology
醉聖	醉圣	zuì shèng	the Sage of intoxication/refers to Tang Dynasty poet Li Bai 李白 (701-762)
開漳聖王	开漳圣王	Kāi zhāng shèng wáng	Sacred King, founder of Zhangzhou, posthumous title of Tang dynasty general Chen Yuanguang (657-711) 陳元光|陈元光[Chén Yuán guāng]
齊天大聖	齐天大圣	Qí tiān Dà shèng	Great Sage the Equal of Heaven, self-proclaimed title of the Monkey King Sun Wukong 孫悟空|孙悟空[Sūn Wù kōng] in the novel Journey to the West 西遊記|西游记[Xī yóu Jì]
