飛	飞	fēi	to fly
飛鴿	飞鸽	Fēi gē	Flying Pigeon (famous bicycle brand, made in Tianjin since 1936)
飛鷹	飞鹰	fēi yīng	eagle
飛鷹走馬	飞鹰走马	fēi yīng zǒu mǎ	to ride out hawking (idiom); to hunt
飛黃騰達	飞黄腾达	Fēi huáng téng dá	lit. the divine steed Feihuang gallops (idiom)/fig. to achieve meteoric success in one's career
飛鼠	飞鼠	fēi shǔ	flying squirrel/(dialect) bat
飛龍	飞龙	fēi lóng	wyvern (type of dragon)
騰飛	腾飞	téng fēi	lit. to fly upwards swiftly/fig. rapid advance/rapidly developing (situation)
驚飛	惊飞	jīng fēi	to go off like a rocket/to rocket
高飛	高飞	Gāo fēi	Goofy (friend of Mickey Mouse)
高飛	高飞	gāo fēi	to soar
高飛遠走	高飞远走	gāo fēi yuǎn zǒu	to fly high and run far (idiom); to leave in a hurry for a distance place
魂飛魄散	魂飞魄散	hún fēi pò sàn	lit. the soul flies away and scatters (idiom)/fig. to be frightened stiff/spooked out of one's mind/terror-stricken
鵬飛	鹏飞	péng fēi	flight of the roc (used in names)/soaring flight
黃飛鴻	黄飞鸿	Huáng Fēi hóng	Wong Fei Hung (1847-1924), famous martial artist and revolutionary
黑飛	黑飞	hēi fēi	to fly illegally (of planes, drones etc)
齊柏林飛艇	齐柏林飞艇	Qí bó lín fēi tǐng	Zeppelin dirigible airship
龍飛	龙飞	lóng fēi	to promote (to official position in former times)
龍飛鳳舞	龙飞凤舞	lóng fēi fèng wǔ	flamboyant or bold cursive calligraphy (idiom)
