爾	尔	ěr	thus/so/like that/you/thou
哈爾濱工業大學	哈尔滨工业大学	Hā ěr bīn Gōng yè Dà xué	Harbin Institute of Technology
哈爾濱市	哈尔滨市	Hā ěr bīn shì	Harbin, subprovincial city and capital of Heilongjiang province 黑龍江|黑龙江[Hēi lóng jiāng] in northeast China
哈爾登	哈尔登	Hā ěr dēng	Halden (city in Norway)
哈米爾卡	哈米尔卡	Hā mǐ ěr kǎ	Hamilcar (c. 270-228 BC), Carthaginian statesman and general
哈貝爾	哈贝尔	Hā bèi ěr	Habel, Haber or Hubbell (name)/Harbel (town in Liberia)
哈馬爾	哈马尔	Hā mǎ ěr	Hamar (town in Norway)
喀什噶爾	喀什噶尔	Kā shí gá ěr	Kashgar or Qeshqer (Chinese Kashi) in the west of Xinjiang near Kyrgyzstan
喀布爾	喀布尔	Kā bù ěr	Kabul, capital of Afghanistan
喀爾喀	喀尔喀	Kā ěr kā	Khalkha, largest subgroup of Mongol people
喀爾巴阡山脈	喀尔巴阡山脉	Kā ěr bā qiān Shān mài	Carpathian Mountains, 1500-km mountain range in Central and Eastern Europe
喬治·奧威爾	乔治·奥威尔	Qiáo zhì · Ào wēi ěr	George Orwell (1903-1950), British novelist, author of Animal Farm 動物農場|动物农场 and 1984
喬治·布爾	乔治·布尔	Qiáo zhì · Bù ěr	George Boole (1815-1864), English mathematician, philosopher and logician, author of The Laws of Thought and the inventor of Boolean logic
嘉爾曼	嘉尔曼	Jiā ěr màn	Carmen (name)
噶爾	噶尔	Gá ěr	Gar county in Ngari prefecture, Tibet, Tibetan: Sgar rdzong
噶爾縣	噶尔县	Gá ěr xiàn	Gar county in Ngari prefecture, Tibet, Tibetan: Sgar rdzong
國立首爾大學	国立首尔大学	Guó lì Shǒu ěr Dà xué	Seoul National University SNU
圖爾	图尔	Tú ěr	Tours (city in France)
圖爾庫	图尔库	Tú ěr kù	Turku (city in Finland)
土爾其斯坦	土尔其斯坦	Tǔ ěr qí sī tǎn	Turkestan
坎貝爾	坎贝尔	Kǎn bèi ěr	Campbell (name)
坎貝爾侏儒倉鼠	坎贝尔侏儒仓鼠	Kǎn bèi ěr zhū rú cāng shǔ	Campbell's dwarf hamster (Phodopus campbelli)
埃格爾松	埃格尔松	Āi gé ěr sōng	Egersund (city in Norway)
埃爾南德斯	埃尔南德斯	Āi ěr nán dé sī	Hernández (name)
埃爾多安	埃尔多安	Āi ěr duō ān	Erdogan (name)/Recep Tayyip Erdoğan (1954-), Turkish politician, prime minister from 2003
埃爾帕索	埃尔帕索	Āi ěr pà suǒ	El Paso (Texas)
埃爾朗根	埃尔朗根	Āi ěr lǎng gēn	Erlangen (town in Bavaria)
埃爾朗根綱領	埃尔朗根纲领	Āi ěr lǎng gēn gāng lǐng	Felix Klein's Erlangen program (1872) on geometry and group theory
埃爾福特	埃尔福特	Āi ěr fú tè	Erfurt (German city)
埃爾維斯·普雷斯利	埃尔维斯·普雷斯利	Āi ěr wéi sī · Pǔ léi sī lì	Elvis Presley (1935-1977), US pop singer and film star
埃爾金	埃尔金	Āi ěr jīn	James Bruce, 8th Earl of Elgin (1811-1863), British High Commissioner to China who ordered the looting and destruction of the Old Winter Palace Yuanmingyuan 圓明園|圆明园 in 1860/Thomas Bruce, 7th Earl of Elgin (1766-1841), who stole the Parthenon Marbles in 1801-1810
埃爾金大理石	埃尔金大理石	Āi ěr jīn dà lǐ shí	the Elgin Marbles, the Parthenon marbles stolen in 1801-1810 by Thomas Bruce, 7th Earl of Elgin
埃米爾	埃米尔	Āi mǐ ěr	Emir (Muslim ruler)/Amir
埃菲爾鐵塔	埃菲尔铁塔	Āi fēi ěr Tiě tǎ	Eiffel Tower
基爾	基尔	Jī ěr	Kiel (German city)
基爾特	基尔特	jī ěr tè	guild (loanword)
