爾	尔	ěr	thus/so/like that/you/thou
韋爾瓦	韦尔瓦	Wéi ěr wǎ	Huelva, Spain
韓德爾	韩德尔	Hán dé ěr	Handel (name)/Georg Frideric Händel (1785-), German composer
額勒貝格·道爾吉	额勒贝格·道尔吉	É lè bèi gé · Dào ěr jí	Elbegdorj Tsakhia or Tsakhia-giin Elbegdorj (1963-), Mongolian US educated Democratic Party politician, president of Mongolia from 2009
額爾古納	额尔古纳	É ěr gǔ nà	Ergun county level city, Mongolian Ergüne xot, in Hulunbuir 呼倫貝爾|呼伦贝尔[Hū lún bèi ěr], Inner Mongolia
額爾古納右旗	额尔古纳右旗	É ěr gǔ nà yòu qí	former Ergun Right banner, now in Ergun county level city, Mongolian Ergüne xot, in Hulunbuir 呼倫貝爾|呼伦贝尔[Hū lún bèi ěr], Inner Mongolia
額爾古納左旗	额尔古纳左旗	É ěr gǔ nà zuǒ qí	former Ergun Left banner, now in Ergun county level city, Mongolian Ergüne xot, in Hulunbuir 呼倫貝爾|呼伦贝尔[Hū lún bèi ěr], Inner Mongolia
額爾古納市	额尔古纳市	É ěr gǔ nà shì	Ergun county level city, Mongolian Ergüne xot, in Hulunbuir 呼倫貝爾|呼伦贝尔[Hū lún bèi ěr], Inner Mongolia
額爾古納河	额尔古纳河	É ěr gǔ nà Hé	Argun River of Mongolia and Heilongjiang province, tributary of Heilongjiang River 黑龍江|黑龙江[Hēi lóng jiāng]
額爾金	额尔金	É ěr jīn	James Bruce, 8th Earl of Elgin (1811-1863), British High Commissioner to China who ordered the looting and destruction of the Old Winter Palace Yuanmingyuan 圓明園|圆明园 in 1860/Thomas Bruce, 7th Earl of Elgin (1766-1841), who stole the Parthenon Marbles in 1801-1810
額爾齊斯河	额尔齐斯河	É ěr qí sī Hé	Irtysh River, flowing from southwest Altai in Xinjiang through Kazakhstan and Siberia to the Arctic Ocean
額菲爾士	额菲尔士	É fēi ěr shì	Everest (name)/Colonel Sir George Everest (1790-1866), British Surveyor-General of India 1830-1843/transliteration refers to Mt Everest 珠穆朗瑪峰|珠穆朗玛峰, Mt Chomolungma or Qomolangma (Tibetan)/Nepalese: Sagarmatha
額菲爾士峰	额菲尔士峰	É fēi ěr shì Fēng	Mt Everest
首爾	首尔	Shǒu ěr	Seoul, capital of South Korea (Chinese name adopted in 2005 to replace 漢城|汉城[Hàn chéng])
首爾國立大學	首尔国立大学	Shǒu ěr Guó lì Dà xué	Seoul National University (SNU or Seoul National), Korea
首爾特別市	首尔特别市	Shǒu ěr Tè bié shì	Seoul Special Metropolitan City, official name of the capital of South Korea
馬克斯威爾	马克斯威尔	Mǎ kè sī wēi ěr	James Clerk Maxwell (1831-1879)
馬噶爾尼	马噶尔尼	Mǎ gá ěr ní	Earl George Macartney (1737-1806), leader of British mission to Qing China in 1793/Paul McCartney, former Beatle
馬噶爾尼使團	马噶尔尼使团	Mǎ gá ěr ní shǐ tuán	the Macartney mission to Qing China in 1793
馬戛爾尼	马戛尔尼	Mǎ jiá ěr ní	Earl George Macartney (1737-1806), leader of British mission to Qing China in 1793/Paul McCartney, former Beatle
馬戛爾尼使團	马戛尔尼使团	Mǎ jiá ěr ní shǐ tuán	the Macartney mission to Qing China in 1793
馬扎爾	马扎尔	Mǎ zhā ěr	Magyar/Hungarian
馬扎爾語	马扎尔语	Mǎ zhā ěr yǔ	Magyar (language)/Hungarian
馬歇爾	马歇尔	Mǎ xiē ěr	Marshall (name)/George Catlett Marshall (1880-1959), US general in WWII and Secretary of State 1947-1949, author of the postwar Marshall plan for Europe and Nobel peace laureate
馬爾他	马尔他	Mǎ ěr tā	Malta (Tw)
馬爾他人	马尔他人	Mǎ ěr tā rén	Maltese (person)
馬爾他語	马尔他语	Mǎ ěr tā yǔ	Maltese (language)
馬爾代夫	马尔代夫	Mǎ ěr dài fū	the Maldives
馬爾卡河	马尔卡河	Mǎ ěr kǎ Hé	Malka River, Russia, a.k.a. Balyksu River
馬爾可夫過程	马尔可夫过程	Mǎ ěr kě fū guò chéng	Markov process (math.)
馬爾地夫	马尔地夫	Mǎ ěr dì fū	the Maldives (Tw)
馬爾堡病毒	马尔堡病毒	mǎ ěr bǎo bìng dú	Marburg virus
馬爾庫斯	马尔库斯	Mǎ ěr kù sī	Marcus (name)
馬爾康	马尔康	Mǎ ěr kāng	Barkam town (Tibetan: 'bar khams), capital of Ngawa Tibetan and Qiang autonomous prefecture 阿壩藏族羌族自治州|阿坝藏族羌族自治州[Ā bà Zàng zú Qiāng zú zì zhì zhōu], northwest Sichuan
馬爾康縣	马尔康县	Mǎ ěr kāng xiàn	Barkam county (Tibetan: 'bar khams rdzong) in Ngawa Tibetan and Qiang autonomous prefecture 阿壩藏族羌族自治州|阿坝藏族羌族自治州[Ā bà Zàng zú Qiāng zú zì zhì zhōu], northwest Sichuan
馬爾康鎮	马尔康镇	Mǎ ěr kāng zhèn	Barkam town (Tibetan: 'bar khams), capital of Ngawa Tibetan and Qiang autonomous prefecture 阿壩藏族羌族自治州|阿坝藏族羌族自治州[Ā bà Zàng zú Qiāng zú zì zhì zhōu], northwest Sichuan
馬爾扎赫	马尔扎赫	Mǎ ěr zhā hè	Marjah, town in Helmand province, Afghanistan
馬爾斯	马尔斯	Mǎ ěr sī	Mars (Roman God of War)
馬爾維納斯群島	马尔维纳斯群岛	Mǎ ěr wéi nà sī Qún dǎo	Malvinas Islands (also known as Falkland Islands)
馬爾谷	马尔谷	Mǎ ěr gǔ	Mark/St Mark the evangelist/less common variant of 馬克|马克[Mǎ kè] preferred by the Catholic Church
馬爾貝克	马尔贝克	Mǎ ěr bèi kè	Malbec (grape type)
馬爾賈	马尔贾	Mǎ ěr jiǎ	Marja (also spelled Marjah or Marjeh), agricultural district in Nad Ali District, Helmand Province, Afghanistan
馬爾馬拉海	马尔马拉海	Mǎ ěr mǎ lā Hǎi	Sea of Marmara
馬爾默	马尔默	Mǎ ěr mò	Malmo (Malmo city, of Sweden)
馬紹爾群島	马绍尔群岛	Mǎ shào ěr Qún dǎo	Marshall Islands
馬里博爾	马里博尔	Mǎ lǐ bó ěr	Maribor, 2nd biggest city in Slovenia
高爾基	高尔基	Gāo ěr jī	Gorkii (name)/Maxim Gorkii (1868-1936), Russian proletarian writer and propagandist
高爾基複合體	高尔基复合体	Gāo ěr jī fù hé tǐ	Golgi complex (in cell biology)
高爾基體	高尔基体	Gāo ěr jī tǐ	Golgi apparatus
高爾夫	高尔夫	gāo ěr fū	golf (loanword)
高爾夫球	高尔夫球	gāo ěr fū qiú	golf/golf ball
高爾夫球場	高尔夫球场	gāo ěr fū qiú chǎng	golf course
高爾察克	高尔察克	Gāo ěr chá kè	Aleksandr Kolchak (1874-1920), Russian naval commander, head of anti-Bolshevik White forces
高爾機體	高尔机体	Gāo ěr jī tǐ	Golgi apparatus/also written 高爾基體|高尔基体[Gāo ěr jī tǐ]
魯佛爾宮	鲁佛尔宫	Lǔ fú ěr gōng	the Louvre
魯爾區	鲁尔区	Lǔ ěr Qū	the Ruhr, region in Germany
魯爾河	鲁尔河	Lǔ ěr Hé	Ruhr River, a tributary of the Rhine in Germany
鮑威爾	鲍威尔	Bào wēi ěr	Powell (name)
麥爾維爾	麦尔维尔	Mài ěr wéi ěr	Melville (name)/Herman Melville (1819-1891), US novelist, author of Moby Dick 白鯨|白鲸[bái jīng]
黑格爾	黑格尔	Hēi gé ěr	Georg Wilhelm Friedrich Hegel (1770-1831), German philosopher
默克爾	默克尔	Mò kè ěr	Angela Merkel (1954-), German CDU politician, chancellor from 2005
齊齊哈爾	齐齐哈尔	Qí qí hā ěr	Qiqihar prefecture level city in Heilongjiang province 黑龍江|黑龙江[Hēi lóng jiāng] in northeast China
齊齊哈爾市	齐齐哈尔市	Qí qí hā ěr shì	Qiqihar prefecture level city in Heilongjiang province 黑龍江|黑龙江[Hēi lóng jiāng] in northeast China
龔古爾	龚古尔	Gōng gǔ ěr	Goncourt (name)
