縣	县	xiàn	county
華縣	华县	Huá xiàn	Hua county in Shaanxi
萬全縣	万全县	Wàn quán xiàn	Wanquan county in Zhangjiakou 張家口|张家口[Zhāng jiā kǒu], Hebei
萬安縣	万安县	Wàn ān xiàn	Wan'an county in Ji'an 吉安, Jiangxi
萬年縣	万年县	Wàn nián xiàn	Wannian county in Shangrao 上饒|上饶, Jiangxi
萬榮縣	万荣县	Wàn róng xiàn	Wanrong county in Yuncheng 運城|运城[Yùn chéng], Shanxi
萬縣	万县	Wàn xiàn	Wanxian port city on the Changjiang or Yangtze river in Sichuan, renamed Wanzhou district in Chongqing municipality in 1990
萬縣地區	万县地区	Wàn xiàn dì qū	Wanxian prefecture in Sichuan, renamed Wanzhou district of Chongqing municipality in 1990
萬縣市	万县市	Wàn xiàn shì	Wanxian port city on the Changjiang or Yangtze river in Sichuan, renamed Wanzhou district in Chongqing municipality in 1990
萬縣港	万县港	Wàn xiàn gǎng	Wanxian port city on the Changjiang or Yangtze river in Sichuan, renamed Wanzhou district in Chongqing municipality in 1990
萬載縣	万载县	Wàn zài xiàn	Wanzai county in Yichun 宜春, Jiangxi
葉城縣	叶城县	Yè chéng xiàn	Qaghiliq nahiyisi (Kargilik county) in Kashgar prefecture 喀什地區|喀什地区[Kā shí dì qū], west Xinjiang
葉縣	叶县	Yè xiàn	Ye county in Pingdingshan 平頂山|平顶山[Píng dǐng shān], Henan
蒙城縣	蒙城县	Méng chéng xiàn	Mengcheng county in Bozhou 亳州[Bó zhōu], Anhui
蒙山縣	蒙山县	Méng shān xiàn	Mengshan county in Wuzhou 梧州[Wú zhōu], Guangxi
蒙自縣	蒙自县	Méng zì xiàn	Mengzi county in Honghe Hani and Yi autonomous prefecture, Yunnan
蒙陰縣	蒙阴县	Méng yīn xiàn	Mengyin county in Linyi 臨沂|临沂[Lín yí], Shandong
蒲城縣	蒲城县	Pú chéng Xiàn	Pucheng County in Weinan 渭南[Wèi nán], Shaanxi
蒲江縣	蒲江县	Pú jiāng xiàn	Pujiang county in Chengdu 成都[Chéng dū], Sichuan
蒲縣	蒲县	Pú xiàn	Pu county in Linfen 臨汾|临汾[Lín fén], Shanxi
蒼南縣	苍南县	Cāng nán xiàn	Cangnan county in Wenzhou 溫州|温州[Wēn zhōu], Zhejiang
蒼山縣	苍山县	Cāng shān xiàn	Cangshan county in Linyi 臨沂|临沂[Lín yí], Shandong
蒼梧縣	苍梧县	Cāng wú xiàn	Cangwu county in Wuzhou 梧州[Wú zhōu], Guangxi
蒼溪縣	苍溪县	Cāng xī xiàn	Cangxi county in Guangyuan 廣元|广元[Guǎng yuán], Sichuan
蓋縣	盖县	Gài xiàn	Gai county in Liaoning
蓬安縣	蓬安县	Péng ān xiàn	Peng'an county in Nanchong 南充[Nán chōng], Sichuan
蓬溪縣	蓬溪县	Péng xī xiàn	Pengxi county in Suining 遂寧|遂宁[Suì níng], Sichuan
蓮花縣	莲花县	Lián huā xiàn	Lianhua county in Pingxiang 萍鄉|萍乡, Jiangxi
蔚縣	蔚县	Yù xiàn	Yu county in Zhangjiakou 張家口|张家口[Zhāng jiā kǒu], Hebei
蕉嶺縣	蕉岭县	Jiāo lǐng xiàn	Jiaoling county in Meizhou 梅州, Guangdong
蕪湖縣	芜湖县	Wú hú xiàn	Wuhu county in Wuhu 蕪湖|芜湖[Wú hú], Anhui
蕭縣	萧县	Xiāo xiàn	Xiao county in Suzhou 宿州[Sù zhōu], Anhui
薊縣	蓟县	Jì xiàn	Ji county in Tianjin 天津[Tiān jīn]
薩嘎縣	萨嘎县	Sà gā xiàn	Saga county, Tibetan: Sa dga' rdzong, in Shigatse prefecture, Tibet
薩迦縣	萨迦县	Sà jiā xiàn	Sa'gya county, Tibetan: Sa skya rdzong, in Shigatse prefecture, Tibet
藁城縣	藁城县	Gǎo chéng xiàn	cheng county in Hebei
藍山縣	蓝山县	Lán shān xiàn	Lanshan county in Yongzhou 永州[Yǒng zhōu], Hunan
藍田縣	蓝田县	Lán tián xiàn	Lantian county in Xi'an 西安[Xī ān], Shaanxi
藤縣	藤县	Téng xiàn	Teng county in Wuzhou 梧州[Wú zhōu], Guangxi
蘄春縣	蕲春县	Qí chūn xiàn	Qochun county in Huanggang 黃岡|黄冈[Huáng gāng], Hubei
蘆山縣	芦山县	Lú shān xiàn	Lushan county in Ya'an 雅安[Yǎ ān], Sichuan
蘆溪縣	芦溪县	Lú xī xiàn	Luxi county in Pingxiang 萍鄉|萍乡, Jiangxi
蘭坪白族普米族自治縣	兰坪白族普米族自治县	Lán píng Bái zú Pǔ mǐ zú Zì zhì xiàn	Lanping Bai and Pumi autonomous county in Nujiang Lisu autonomous prefecture 怒江傈僳族自治州[Nù jiāng Lì sù zú zì zhì zhōu] in northwest Yunnan
蘭坪縣	兰坪县	Lán píng xiàn	Lanping Bai and Pumi autonomous county in Nujiang Lisu autonomous prefecture 怒江傈僳族自治州[Nù jiāng Lì sù zú zì zhì zhōu] in northwest Yunnan
蘭考縣	兰考县	Lán kǎo xiàn	Lankao county in Kaifeng 開封|开封[Kāi fēng], Henan
蘭西縣	兰西县	Lán xī xiàn	Langxi county in Suihua 綏化|绥化, Heilongjiang
蘿北縣	萝北县	Luó běi xiàn	Luobei county in Hegang 鶴崗|鹤岗[Hè gǎng], Heilongjiang
虞城縣	虞城县	Yú chéng xiàn	Yucheng county in Shangqiu 商丘[Shāng qiū], Henan
融安縣	融安县	Róng ān xiàn	Rong'an county in Liuzhou 柳州[Liǔ zhōu], Guangxi
融水苗族自治縣	融水苗族自治县	Róng shuǐ Miáo zú Zì zhì xiàn	Rongshui Miao Autonomous County in Liuzhou 柳州[Liǔ zhōu], Guangxi
蠡縣	蠡县	Lǐ xiàn	Li county in Baoding 保定[Bǎo dìng], Hebei
行唐縣	行唐县	Xíng táng xiàn	Xingtang county in Shijiazhuang 石家莊|石家庄[Shí jiā zhuāng], Hebei
衡南縣	衡南县	Héng nán xiàn	Hengnan county in Hengyang 衡陽|衡阳[Héng yáng], Hunan
衡山縣	衡山县	Héng shān xiàn	Hengshan county in Hengyang 衡陽|衡阳[Héng yáng], Hunan
衡東縣	衡东县	Héng dōng xiàn	Hengdong county in Hengyang 衡陽|衡阳[Héng yáng], Hunan
衡陽縣	衡阳县	Héng yáng xiàn	Hengyang county in Hengyang 衡陽|衡阳[Héng yáng], Hunan
裕民縣	裕民县	Yù mín xiàn	Yumin county or Chaghantoqay nahiyisi in Tacheng prefecture 塔城地區|塔城地区[Tǎ chéng dì qū], Xinjiang
襄垣縣	襄垣县	Xiāng yuán xiàn	Xiangyuan county in Changzhi 長治|长治[Cháng zhì], Shanxi
襄城縣	襄城县	Xiāng chéng xiàn	Xiangcheng county in Xuchang city 許昌市|许昌市[Xǔ chāng shì], Henan
襄汾縣	襄汾县	Xiāng fén xiàn	Xiangfen county in Linfen 臨汾|临汾[Lín fén], Shanxi
西充縣	西充县	Xī chōng xiàn	Xichong county in Nanchong 南充[Nán chōng], Sichuan
西吉縣	西吉县	Xī jí xiàn	Xiji county in Guyuan 固原[Gù yuán], Ningxia
西和縣	西和县	Xī hé xiàn	Xihe county in Longnan 隴南|陇南[Lǒng nán], Gansu
西峽縣	西峡县	Xī xiá xiàn	Xixia county in Nanyang 南陽|南阳[Nán yáng], Henan
西平縣	西平县	Xī píng xiàn	Xiping county in Zhumadian 駐馬店|驻马店[Zhù mǎ diàn], Henan
西林縣	西林县	Xī lín xiàn	Xilin county in Baise 百色[Bǎi sè], Guangxi
西疇縣	西畴县	Xī chóu xiàn	Xichou county in Wenshan Zhuang and Miao autonomous prefecture 文山壯族苗族自治州|文山壮族苗族自治州[Wén shān Zhuàng zú Miáo zú zì zhì zhōu], Yunnan
西盟佤族自治縣	西盟佤族自治县	Xī méng Wǎ zú Zì zhì xiàn	Ximeng Va Autonomous County in Pu'er 普洱[Pǔ ěr], Yunnan
西盟縣	西盟县	Xī méng xiàn	Ximeng Va autonomous county in Pu'er 普洱[Pǔ ěr], Yunnan
西華縣	西华县	Xī huá xiàn	Xihua county in Zhoukou 周口[Zhōu kǒu], Henan
西豐縣	西丰县	Xī fēng xiàn	Xifeng county in Tieling 鐵嶺|铁岭, Liaoning
西鄉縣	西乡县	Xī xiāng Xiàn	Xixiang County in Hanzhong 漢中|汉中[Hàn zhōng], Shaanxi
許昌縣	许昌县	Xǔ chāng xiàn	Xuchang county in Xuchang city 許昌市|许昌市[Xǔ chāng shì], Henan
詔安縣	诏安县	Zhào ān xiàn	Zhao'an county in Zhangzhou 漳州[Zhāng zhōu], Fujian
謝通門縣	谢通门县	Xiè tōng mén xiàn	Xaitongmoin county, Tibetan: Bzhad mthong smon rdzong, in Shigatse prefecture, Tibet
谷城縣	谷城县	Gǔ chéng xiàn	Gucheng county in Xiangfan 襄樊[Xiāng fán], Hubei
豐寧滿族自治縣	丰宁满族自治县	Fēng níng Mǎn zú Zì zhì xiàn	Fengning Manchu Autonomous County in Chengde 承德[Chéng dé], Hebei
豐寧縣	丰宁县	Fēng níng xiàn	Fengning Manchu autonomous county in Chengde 承德[Chéng dé], Hebei
豐縣	丰县	Fēng xiàn	Feng county in Xuzhou 徐州[Xú zhōu], Jiangsu
豐都縣	丰都县	Fēng dū xiàn	Fengdu county in Fuling suburbs of Chongqing municipality, formerly in Sichuan
豐順縣	丰顺县	Fēng shùn xiàn	Fengshun county in Meizhou 梅州, Guangdong
象山縣	象山县	Xiàng shān xiàn	Xiangshan county in Ningbo 寧波|宁波[Níng bō], Zhejiang
象州縣	象州县	Xiàng zhōu xiàn	Xiangzhou county in Laibin 來賓|来宾[Lái bīn], Guangxi
貞豐縣	贞丰县	Zhēn fēng xiàn	Zhenfeng county in Qianxinan Buyei and Miao autonomous prefecture 黔西南州[Qián xī nán zhōu], Guizhou
貢嘎縣	贡嘎县	Gòng gá xiàn	Gonggar county, Tibetan: Gong dkar rdzong, in Lhokha prefecture 山南地區|山南地区[Shān nán dì qū], Tibet
貢山獨龍族怒族自治縣	贡山独龙族怒族自治县	Gòng shān Dú lóng zú Nù zú Zì zhì xiàn	Gongshan Derung and Nu autonomous county in Nujiang Lisu autonomous prefecture 怒江傈僳族自治州[Nù jiāng Lì sù zú Zì zhì zhōu] in northwest Yunnan
貢山縣	贡山县	Gòng shān xiàn	Gongshan Derung and Nu autonomous county in Nujiang Lisu autonomous prefecture 怒江傈僳族自治州[Nù jiāng Lì sù zú zì zhì zhōu] in northwest Yunnan
貢覺縣	贡觉县	Gòng jué xiàn	Gonjo county, Tibetan: Go 'jo rdzong, in Chamdo prefecture 昌都地區|昌都地区[Chāng dū dì qū], Tibet
貴南縣	贵南县	Guì nán xiàn	Guinan county in Hainan Tibetan autonomous prefecture 海南藏族自治州[Hǎi nán Zàng zú Zì zhì zhōu], Qinghai
貴定縣	贵定县	Guì dìng xiàn	Guiding county in Qiannan Buyei and Miao autonomous prefecture 黔南州[Qián nán zhōu], Guizhou
貴德縣	贵德县	Guì dé xiàn	Guide county in Hainan Tibetan autonomous prefecture 海南藏族自治州[Hǎi nán Zàng zú Zì zhì zhōu], Qinghai
費縣	费县	Fèi xiàn	Feixian county in Linyi 臨沂|临沂[Lín yí], Shandong
賀縣	贺县	Hè xiàn	He county in Guangxi
賀蘭縣	贺兰县	Hè lán xiàn	Helan county in Yinchuan 銀川|银川[Yín chuān], Ningxia
資中縣	资中县	Zī zhōng xiàn	Zizhong county in Neijiang 內江|内江[Nèi jiāng], Sichuan
資源縣	资源县	Zī yuán xiàn	Ziyuan county in Guilin 桂林[Guì lín], Guangxi
資溪縣	资溪县	Zī xī xiàn	Zixi county in Fuzhou 撫州|抚州, Jiangxi
賓川縣	宾川县	Bīn chuān xiàn	Binchuan county in Dali Bai autonomous prefecture 大理白族自治州[Dà lǐ Bái zú zì zhì zhōu], Yunnan
賓縣	宾县	Bīn xiàn	Bin county in Heilongjiang
賓陽縣	宾阳县	Bīn yáng xiàn	Binyang county in Nanning 南寧|南宁[Nán níng], Guangxi
贊皇縣	赞皇县	Zàn huáng xiàn	Zanhuang county in Shijiazhuang 石家莊|石家庄[Shí jiā zhuāng], Hebei
贛榆縣	赣榆县	Gàn yú xiàn	Ganyu county in Lianyungang 連雲港|连云港[Lián yún gǎng], Jiangsu
贛縣	赣县	Gàn xiàn	Gan county in Ganzhou 贛州|赣州, Jiangxi
赤城縣	赤城县	Chì chéng xiàn	Chicheng county in Zhangjiakou 張家口|张家口[Zhāng jiā kǒu], Hebei
赤壁縣	赤壁县	Chì bì xiàn	Chibi county in Xianning 咸宁市, Hubei
赫章縣	赫章县	Hè zhāng xiàn	Hezhang county in Bijie prefecture 畢節地區|毕节地区[Bì jié dì qū], Guizhou
越西縣	越西县	Yuè xī xiàn	Yuexi county in Liangshan Yi autonomous prefecture 涼山彞族自治州|凉山彝族自治州[Liáng shān Yí zú zì zhì zhōu], south Sichuan
趙縣	赵县	Zhào Xiàn	Zhao County in Shijiazhuang 石家莊|石家庄[Shí jiā zhuāng], Hebei
路南彞族自治縣	路南彝族自治县	Lù nán Yí zú Zì zhì xiàn	Lunan Yizu Autonomous County in Yunnan
輝南縣	辉南县	Huī nán xiàn	Huinan county in Tonghua 通化, Jilin
輝縣	辉县	Huī xiàn	Huixian county in Xinxiang 新鄉|新乡[Xīn xiāng], Henan
輝縣市	辉县市	Huī xiàn shì	Huixian county in Xinxiang 新鄉|新乡[Xīn xiāng], Henan
輪台縣	轮台县	Lún tái xiàn	Bügür nahiyisi or Luntai county in Bayingolin Mongol Autonomous Prefecture, Xinjiang 巴音郭楞蒙古自治州[Bā yīn guō léng Měng gǔ Zì zhì zhōu], Xinjiang
辰溪縣	辰溪县	Chén xī xiàn	Chenxi county in Huaihua 懷化|怀化[Huái huà], Hunan
農安縣	农安县	Nóng ān xiàn	Nong'an county in Changchun 長春|长春, Jilin
迭部縣	迭部县	Dié bù xiàn	Têwo or Diebu county in Gannan Tibetan autonomous prefecture 甘南藏族自治州[Gān nán Zàng zú zì zhì zhōu], Gansu
通化縣	通化县	Tōng huà xiàn	Tonghua county in Tonghua 通化, Jilin
通城縣	通城县	Tōng chéng xiàn	Tongcheng county in Xianning 咸寧|咸宁[Xián níng], Hubei
通山縣	通山县	Tōng shān xiàn	Tongshan county in Xianning 咸寧|咸宁[Xián níng], Hubei
通榆縣	通榆县	Tōng yú xiàn	Tongyu county in Baicheng 白城, Jilin
通江縣	通江县	Tōng jiāng xiàn	Tongjiang county in Panzhihua 攀枝花[Pān zhī huā], south Sichuan
通河縣	通河县	Tōng hé xiàn	Tonghe county in Harbin 哈爾濱|哈尔滨[Hā ěr bīn], Heilongjiang
通海縣	通海县	Tōng hǎi xiàn	Tonghai county in Yuxi 玉溪[Yù xī], Yunnan
通渭縣	通渭县	Tōng wèi xiàn	Tongwei county in Dingxi 定西[Dìng xī], Gansu
通縣	通县	Tōng xiàn	Tong county in Beijing
通許縣	通许县	Tōng xǔ xiàn	Tongxu county in Kaifeng 開封|开封[Kāi fēng], Henan
通道侗族自治縣	通道侗族自治县	Tōng dào Dòng zú Zì zhì xiàn	Tongdao Dong Autonomous County in Huaihua 懷化|怀化[Huái huà], Hunan
通道縣	通道县	Tōng dào xiàn	Tongdao Dong autonomous county in Huaihua 懷化|怀化[Huái huà], Hunan
連南瑤族自治縣	连南瑶族自治县	Lián nán Yáo zú Zì zhì xiàn	Liannan Yao Autonomous County in Qingyuan 清遠|清远[Qīng yuǎn], Guangdong
連南縣	连南县	Lián nán xiàn	Liannan Yaozu autonomous county in Qingyuan 清远, Guangdong
連城縣	连城县	Lián chéng xiàn	Liancheng county in Longyan 龍岩|龙岩, Fujian
連山壯族瑤族自治縣	连山壮族瑶族自治县	Lián shān Zhuàng zú Yáo zú Zì zhì xiàn	Lianshan Zhuang and Yao autonomous county in Qingyuan 清远, Guangdong
連山縣	连山县	Lián shān xiàn	Lianshan Zhuang and Yao autonomous county in Qingyuan 清远, Guangdong
連平縣	连平县	Lián píng xiàn	Lianping county in Heyuan 河源[Hé yuán], Guangdong
連江縣	连江县	Lián jiāng xiàn	Lianjiang county in Fuzhou 福州[Fú zhōu], Fujian/Lienchiang county of Taiwan, i.e. the Matsu Islands 馬祖列島|马祖列岛[Mǎ zǔ Liè dǎo]
連縣	连县	Lián xiàn	Lian county in Guangdong
進賢縣	进贤县	Jìn xián xiàn	Jinxian county in Nanchang 南昌, Jiangxi
遂川縣	遂川县	Suì chuān xiàn	Suichuan county in Ji'an 吉安, Jiangxi
遂平縣	遂平县	Suì píng xiàn	Suiping county in Zhumadian 駐馬店|驻马店[Zhù mǎ diàn], Henan
遂昌縣	遂昌县	Suì chāng xiàn	Suichang county in Lishui 麗水|丽水[Lí shuǐ], Zhejiang
遂溪縣	遂溪县	Suì xī xiàn	Suixi county in Zhanjiang 湛江[Zhàn jiāng], Guangdong
道孚縣	道孚县	Dào fú xiàn	Dawu county (Tibetan: rta 'u rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
道真仡佬族苗族自治縣	道真仡佬族苗族自治县	Dào zhēn Gē lǎo zú Miáo zú Zì zhì xiàn	Daozhen Klau and Hmong Autonomous County in Zunyi 遵義|遵义[Zūn yì], northeast Guizhou
道真縣	道真县	Dào zhēn xiàn	Daozhen Klau and Hmong autonomous county in Zunyi 遵義|遵义[Zūn yì], northeast Guizhou
道真自治縣	道真自治县	Dào zhēn Zì zhì xiàn	Daozhen Klau and Hmong autonomous county in Zunyi 遵義|遵义[Zūn yì], northeast Guizhou
道縣	道县	Dào xiàn	Dao county in Yongzhou 永州[Yǒng zhōu], Hunan
達孜縣	达孜县	Dá zī xiàn	Dagzê county, Tibetan: Stag rtse rdzong in Lhasa 拉薩|拉萨[Lā sà], Tibet
達日縣	达日县	Dá rì xiàn	Darlag or Dari county (Tibetan: dar lag rdzong) in Golog Tibetan autonomous prefecture 果洛州[Guǒ luò zhōu], Qinghai
達縣	达县	Dá xiàn	Da county in Dazhou 達州|达州[Dá zhōu], Sichuan
遜克縣	逊克县	Xùn kè xiàn	Xunke county in Heihe 黑河[Hēi hé], Heilongjiang
遠安縣	远安县	Yuǎn ān xiàn	Yuan'an county in Yichang 宜昌[Yí chāng], Hubei
遵化縣	遵化县	Zūn huà Xiàn	Zunhua County in Tangshan 唐山[Táng shān], Hebei, with the Eastern Qing tombs/Zunhua county level city
遵義縣	遵义县	Zūn yì xiàn	Zunyi county in Zun'yi 遵義|遵义[Zūn yì], Guizhou
遷西縣	迁西县	Qiān xī xiàn	Qianxi county in Tangshan 唐山[Táng shān], Hebei
遼中縣	辽中县	Liáo zhōng xiàn	Liaozhong county in Shenyang 瀋陽|沈阳, Liaoning
遼陽縣	辽阳县	Liáo yáng xiàn	Liaoyang county in Liaoyang 遼陽|辽阳[Liáo yáng], Liaoning
邊壩縣	边坝县	Biān bà xiàn	Banbar county, Tibetan: Dpal 'bar rdzong, in Chamdo prefecture 昌都地區|昌都地区[Chāng dū dì qū], Tibet
邢台縣	邢台县	Xíng tái xiàn	Xingtai county in Xingtai 邢台[Xíng tái], Hebei
那坡縣	那坡县	Nà pō xiàn	Napo county in Baise 百色[Bǎi sè], Guangxi
那曲縣	那曲县	Nǎ qū xiàn	Nagchu county, Tibetan: Nag chu rdzong, in Nagchu prefecture 那曲地區|那曲地区[Nà qǔ dì qū], central Tibet
邯鄲縣	邯郸县	Hán dān xiàn	Handan county in Handan 邯鄲|邯郸[Hán dān], Hebei
邱縣	邱县	Qiū xiàn	Qiu county in Handan 邯鄲|邯郸[Hán dān], Hebei
邳縣	邳县	Pī xiàn	Pi county in Jiangsu
邵東縣	邵东县	Shào dōng xiàn	Shaodong county in Shaoyang 邵陽|邵阳[Shào yáng], Hunan
邵陽縣	邵阳县	Shào yáng xiàn	Shaoyang county in Shaoyang 邵陽|邵阳[Shào yáng], Hunan
郎溪縣	郎溪县	Láng xī xiàn	Langxi county in Xuancheng 宣城[Xuān chéng], Anhui
郟縣	郏县	Jiá xiàn	Jia county in Pingdingshan 平頂山|平顶山[Píng dǐng shān], Henan
郫縣	郫县	Pí xiàn	Pi county in Chengdu 成都[Chéng dū], Sichuan
郯城縣	郯城县	Tán chéng xiàn	Tancheng county in Linyi 臨沂|临沂[Lín yí], Shandong
都安瑤族自治縣	都安瑶族自治县	Dū ān Yáo zú Zì zhì xiàn	Du'an Yao autonomous county in Hezhou 賀州|贺州[Hè zhōu], Guangxi
都安縣	都安县	Dū Ān xiàn	Du'an Yao autonomous county in Hezhou 賀州|贺州[Hè zhōu], Guangxi
都昌縣	都昌县	Dū chāng xiàn	Duchang county in Jiujiang 九江, Jiangxi
都蘭縣	都兰县	Dū lán xiàn	Dulan county in Haixi Mongol and Tibetan autonomous prefecture 海西蒙古族藏族自治州[Hǎi xī Měng gǔ zú Zàng zú zì zhì zhōu], Qinghai
鄄城縣	鄄城县	Juàn chéng xiàn	Juancheng county in Heze 菏澤|菏泽[Hé zé], Shandong
鄆城縣	郓城县	Yùn chéng xiàn	Yuncheng county in Heze 菏澤|菏泽[Hé zé], Shandong
鄉城縣	乡城县	Xiāng chéng xiàn	Xiangcheng county (Tibetan: phyag 'phreng rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gān zī Zàng zú zì zhì zhōu], Sichuan (formerly in Kham province of Tibet)
鄉寧縣	乡宁县	Xiāng níng xiàn	Xiangning county in Linfen 臨汾|临汾[Lín fén], Shanxi
鄒平縣	邹平县	Zōu píng xiàn	Zouping county in Binzhou 濱州|滨州[Bīn zhōu], Shandong
鄒縣	邹县	Zōu xiàn	Zou county in Shandong
鄖縣	郧县	Yún xiàn	Yun county in Shiyan 十堰[Shí yàn], Hubei
鄖西縣	郧西县	Yún xī xiàn	Yunxi county in Shiyan 十堰[Shí yàn], Hubei
鄞縣	鄞县	Yín xiàn	Yin county in Zhejiang
鄢陵縣	鄢陵县	Yān líng xiàn	Yanling county in Xuchang city 許昌市|许昌市[Xǔ chāng shì], Henan
鄯善縣	鄯善县	Shàn shàn xiàn	Piqan county or Pichan nahiyisi in Turpan prefecture 吐魯番地區|吐鲁番地区[Tǔ lǔ fān dì qū], Xinjiang
鄰水縣	邻水县	Lín shuǐ xiàn	Linshui county in Guang'an 廣安|广安[Guǎng ān], Sichuan
鄱陽縣	鄱阳县	Pó yáng xiàn	Poyang county in Shangrao 上饒|上饶, Jiangxi
鄲城縣	郸城县	Dān chéng xiàn	Dancheng county in Zhoukou 周口[Zhōu kǒu], Henan
酃縣	酃县	Líng xiàn	Ling county in Hunan
酉陽土家族苗族自治縣	酉阳土家族苗族自治县	Yǒu yáng Tǔ jiā zú Miáo zú Zì zhì xiàn	Youyang Miao and Tujia autonomous county in Qianjiang suburbs of Chongqing municipality
酉陽縣	酉阳县	Yǒu yáng xiàn	Youyang Miao and Tujia autonomous county in Qianjiang suburbs of Chongqing municipality
醴泉縣	醴泉县	Lǐ quán xiàn	Liquan county in Xianyang 咸陽|咸阳, Shaanxi/also written 禮泉縣|礼泉县
金堂縣	金堂县	Jīn táng xiàn	Jintang county in Chengdu 成都[Chéng dū], Sichuan
金塔縣	金塔县	Jīn tǎ xiàn	Jinta county in Jiuquan 酒泉, Gansu
金寨縣	金寨县	Jīn zhài xiàn	Jinzhai county in Lu'an 六安[Lù ān], Anhui
金川縣	金川县	Jīn chuān xiàn	Jinchuan county (Tibetan: chu chen rdzong) in Ngawa Tibetan and Qiang autonomous prefecture 阿壩藏族羌族自治州|阿坝藏族羌族自治州[Ā bà Zàng zú Qiāng zú zì zhì zhōu], northwest Sichuan
金平縣	金平县	Jīn píng xiàn	Jinping Miao, Yao and Dai autonomous county in Honghe Hani and Yi autonomous prefecture 紅河哈尼族彞族自治州|红河哈尼族彝族自治州[Hóng hé Hā ní zú Yí zú Zì zhì zhōu], Yunnan
金平苗族瑤族傣族自治縣	金平苗族瑶族傣族自治县	Jīn píng Miáo zú Yáo zú Dǎi zú Zì zhì xiàn	Jinping Miao, Yao and Dai autonomous county in Honghe Hani and Yi autonomous prefecture 紅河哈尼族彞族自治州|红河哈尼族彝族自治州[Hóng hé Hā ní zú Yí zú Zì zhì zhōu], Yunnan
金平苗瑤傣族自治縣	金平苗瑶傣族自治县	Jīn píng Miáo Yáo Dǎi zú Zì zhì xiàn	see 金平苗族瑤族傣族自治縣|金平苗族瑶族傣族自治县[Jīn píng Miáo zú Yáo zú Dǎi zú zì zhì xiàn]
金沙縣	金沙县	Jīn shā xiàn	Jinsha county in Bijie prefecture 畢節地區|毕节地区[Bì jié dì qū], Guizhou
金湖縣	金湖县	Jīn hú xiàn	Jinhu county in Huai'an 淮安[Huái ān], Jiangsu
金溪縣	金溪县	Jīn xī xiàn	Jinxi county in Fuzhou 撫州|抚州, Jiangxi
金秀瑤族自治縣	金秀瑶族自治县	Jīn xiù Yáo zú Zì zhì xiàn	Jinxiu Yao autonomous county in Laibin 來賓|来宾[Lái bīn], Guangxi
金秀縣	金秀县	Jīn xiù xiàn	Jinxiu Yao autonomous county in Laibin 來賓|来宾[Lái bīn], Guangxi
金縣	金县	Jīn xiàn	King County
金鄉縣	金乡县	Jīn xiāng Xiàn	Jinxiang County in Jining 濟寧|济宁[Jǐ níng], Shandong
金門縣	金门县	Jīn mén xiàn	Kinmen County, Taiwan (the Kinmen or Quemoy islands off the Fujian coast)/Jinmen county in Quanzhou 泉州[Quán zhōu], Fujian
金陽縣	金阳县	Jīn yáng xiàn	Jinyang county in Liangshan Yi autonomous prefecture 涼山彞族自治州|凉山彝族自治州[Liáng shān Yí zú zì zhì zhōu], south Sichuan
鉛山縣	铅山县	Yán shān Xiàn	Yanshan County in Shangrao 上饒|上饶[Shàng ráo], Jiangxi
銅山縣	铜山县	Tóng shān xiàn	Tongshan county in Xuzhou 徐州[Xú zhōu], Jiangsu
銅梁縣	铜梁县	Tóng liáng xiàn	Tongliang suburban county in Chongqing municipality, formerly in Sichuan
銅陵縣	铜陵县	Tóng líng xiàn	Tongling county in Tongling, Anhui
銅鼓縣	铜鼓县	Tóng gǔ xiàn	Tonggu county in Yichun 宜春, Jiangxi
錦屏縣	锦屏县	Jǐn píng xiàn	Jinping county in Qiandongnan Miao and Dong autonomous prefecture 黔東南州|黔东南州[Qián dōng nán zhōu], Guizhou
錦縣	锦县	Jǐn xiàn	Jin county in Liaoning
錦西縣	锦西县	Jǐn xī xiàn	former Jinxi county, now part of Nanpiao district 南票[Nán piào] of Huludao city 葫蘆島市|葫芦岛市[Hú lú dǎo shì], Liaoning
錯那縣	错那县	Cuò nà xiàn	Cona county, Tibetan: Mtsho sna rdzong, in Lhokha prefecture 山南地區|山南地区[Shān nán dì qū], Tibet
鎮原縣	镇原县	Zhèn yuán xiàn	Zhenyuan county in Qingyang 慶陽|庆阳[Qìng yáng], Gansu
鎮坪縣	镇坪县	Zhèn píng Xiàn	Zhenping County in Ankang 安康[Ān kāng], Shaanxi
鎮安縣	镇安县	Zhèn ān Xiàn	Zhen'an County in Shangluo 商洛[Shāng luò], Shaanxi
鎮寧布依族苗族自治縣	镇宁布依族苗族自治县	Zhèn níng Bù yī zú Miáo zú Zì zhì xiàn	Zhenning Buyei and Hmong autonomous county in Anshun 安順|安顺[Ān shùn], Guizhou
鎮寧縣	镇宁县	Zhèn níng xiàn	Zhenning Buyei and Hmong autonomous county in Anshun 安順|安顺[Ān shùn], Guizhou
鎮巴縣	镇巴县	Zhèn bā Xiàn	Zhenba County in Hanzhong 漢中|汉中[Hàn zhōng], Shaanxi
鎮平縣	镇平县	Zhèn píng xiàn	Zhenping county in Nanyang 南陽|南阳[Nán yáng], Henan
