內	内	nèi	inside/inner/internal/within/interior
內鬼	内鬼	nèi guǐ	mole/spy/rat/traitor
內黃	内黄	Nèi huáng	Neihuang county in Anyang 安陽|安阳[Ān yáng], Henan
內黃縣	内黄县	Nèi huáng xiàn	Neihuang county in Anyang 安陽|安阳[Ān yáng], Henan
其內	其内	qí nèi	included/within that
分內	分内	fèn nèi	one's job or duty/within one's remit
卡內基	卡内基	Kǎ nèi jī	Carnegie (name)/Andrew Carnegie (1835-1919), Scots American steel millionaire and philanthropist
卡內基梅隆大學	卡内基梅隆大学	Kǎ nèi jī Méi lóng Dà xué	Carnegie Mellon University, Pittsburgh
哈博羅內	哈博罗内	Hā bó luó nèi	Gaborone, capital of Botswana
哈梅內伊	哈梅内伊	Hā méi nèi yī	Khamenei, Ayatollah Aly (1939-), Supreme Leader of Iran, aka Ali Khamenei
四海之內皆兄弟	四海之内皆兄弟	sì hǎi zhī nèi jiē xiōng dì	all men are brothers
圈內	圈内	quān nèi	close circle/community/(esp.) the show business milieu
國內	国内	guó nèi	domestic/internal (to a country)/civil
國內外	国内外	guó nèi wài	domestic and international/at home and abroad
國內安全保衛局	国内安全保卫局	Guó nèi Ān quán Bǎo wèi jú	Domestic Security Protection Bureau, the department of the Ministry of Public Security responsible for dealing with dissidents, activists etc
國內戰爭	国内战争	guó nèi zhàn zhēng	civil war/internal struggle
國內生產總值	国内生产总值	guó nèi shēng chǎn zǒng zhí	gross domestic product (GDP)
國內線	国内线	guó nèi xiàn	domestic flight/internal line (air, train, ferry etc)
國共內戰	国共内战	Guó Gòng Nèi zhàn	Chinese Civil War, also known as War of Liberation 解放戰爭|解放战争[Jiě fàng Zhàn zhēng]
國外內	国外内	guó wài nèi	international and domestic
在內	在内	zài nèi	(included) in it/among them
在室內	在室内	zài shì nèi	indoors
塞內加爾	塞内加尔	Sài nèi jiā ěr	Senegal
境內	境内	jìng nèi	within the borders/internal (to a country, province, city etc)/domestic
境內外	境内外	jìng nèi wài	within and without the borders/domestic and foreign/home and abroad
外剛內柔	外刚内柔	wài gāng nèi róu	soft on the inside despite one's hard shell/appearing tough on the outside as to mask one's inner vulnerability/also written 內柔外剛|内柔外刚[nèi róu wài gāng]
外圓內方	外圆内方	wài yuán nèi fāng	lit. outside-flexible, inside-firm (idiom)/fig. velvet glove
外寬內忌	外宽内忌	wài kuān nèi jì	magnanimous on the outside, but hateful on the inside (idiom)
大內	大内	Dà nèi	Tanei township in Tainan county 台南縣|台南县[Tái nán xiàn], Taiwan
大內鄉	大内乡	Dà nèi xiāng	Tanei township in Tainan county 台南縣|台南县[Tái nán xiàn], Taiwan
奧康內爾	奥康内尔	Ào kāng nèi ěr	O'Connell (name)/Daniel O'Connell (1775-1847), Irish nationalist and catholic activist
委內瑞拉	委内瑞拉	Wěi nèi ruì lā	Venezuela
委內瑞拉馬腦炎病毒	委内瑞拉马脑炎病毒	Wěi nèi ruì lā mǎ nǎo yán bìng dú	Venezuelan equine encephalitis (VEE) virus
子宮內避孕器	子宫内避孕器	zǐ gōng nèi bì yùn qì	intrauterine device (IUD)
室內	室内	shì nèi	indoor
室內樂	室内乐	shì nèi yuè	chamber music
室內裝潢	室内装潢	shì nèi zhuāng huáng	interior decorating
室內設計	室内设计	shì nèi shè jì	interior design
宮內節育器	宫内节育器	gōng nèi jié yù qì	intrauterine device (IUD)
對內	对内	duì nèi	internal/national/domestic (policy)
巴布亞新幾內亞	巴布亚新几内亚	Bā bù yà Xīn Jǐ nèi yà	Papua New Guinea
巴布亞紐幾內亞	巴布亚纽几内亚	Bā bù yà Niǔ Jī nèi yà	Papua New Guinea (Tw)
市內	市内	shì nèi	inside the city
希爾內科斯	希尔内科斯	Xī ěr nèi kē sī	Kirkenes (city in Finnmark, Norway)
帕內爾	帕内尔	Pà nèi ěr	Parnell (name)/Charles Stewart Parnell (1846-1891), Irish nationalist politician
年內	年内	nián nèi	during the current year
幾內亞	几内亚	Jī nèi yà	Guinea
幾內亞比索	几内亚比索	Jī nèi yà Bǐ suǒ	Guinea-Bissau (Tw)
幾內亞比紹	几内亚比绍	Jī nèi yà Bǐ shào	Guinea-Bissau
幾內亞灣	几内亚湾	Jǐ nèi yà Wān	Gulf of Guinea
影子內閣	影子内阁	yǐng zi nèi gé	shadow cabinet
懼內	惧内	jù nèi	henpecked
戶內	户内	hù nèi	indoors/within the home
攘外安內	攘外安内	rǎng wài ān nèi	to resist foreign aggression and pacify the interior of the country (idiom)
新幾內亞	新几内亚	Xīn Jǐ nèi yà	New Guinea
新幾內亞	新几内亚	Xīn jǐ nèi yà	New Guinea
新畿內亞	新畿内亚	Xīn Jī nèi yà	New Guinea
日內	日内	rì nèi	in a few days/one of these days
日內瓦	日内瓦	Rì nèi wǎ	Geneva, Switzerland
有效期內	有效期内	yǒu xiào qī nèi	within the period of validity/before the sell-by date
本內特	本内特	Běn nèi tè	Bennett (surname)
李卜克內西	李卜克内西	Lǐ bo kè nèi xī	Wilhelm Liebknecht (1826-1900), political activist and founding member of the German Socialist Party SPD
杜本內	杜本内	Dù běn nèi	Dubonnet (name)/Dubonnet (red vermouth aperitif wine)
束身內衣	束身内衣	shù shēn nèi yī	corset
林內	林内	Lín nèi	Linnei township in Yunlin county 雲林縣|云林县[Yún lín xiàn], Taiwan
林內鄉	林内乡	Lín nèi xiāng	Linnei township in Yunlin county 雲林縣|云林县[Yún lín xiàn], Taiwan
校內	校内	Xiào nèi	Xiaonei (Chinese social network website)
校內	校内	xiào nèi	on-campus/intramural
桑內斯	桑内斯	Sāng nèi sī	Sandnes (city in Rogaland, Norway)
正確處理人民內部矛盾	正确处理人民内部矛盾	zhèng què chǔ lǐ rén mín nèi bù máo dùn	On the correct handling of internal contradictions among the people, Mao Zedong's tract of 1957
永貞內禪	永贞内禅	Yǒng zhēn nèi shàn	Yongzhen abdication of 805
河內	河内	Hé nèi	Hanoi, capital of Vietnam
海內	海内	hǎi nèi	the whole world/throughout the land/everything under the sun
海內外	海内外	hǎi nèi wài	domestic and international/at home and abroad
海內存知己，天涯若比鄰	海内存知己，天涯若比邻	hǎi nèi cún zhī jǐ , tiān yá ruò bǐ lín	close friend in a distant land, far-flung realms as next door/close in spirit although far away
湖內	湖内	Hú nèi	Hunei township in Kaohsiung county 高雄縣|高雄县[Gāo xióng xiàn], southwest Taiwan
湖內鄉	湖内乡	Hú nèi xiāng	Hunei township in Kaohsiung county 高雄縣|高雄县[Gāo xióng xiàn], southwest Taiwan
特內里費	特内里费	Tè nèi lǐ fèi	Tenerife
用戶創造內容	用户创造内容	yòng hù chuàng zào nèi róng	user-generated content (of a website)
男主外，女主內	男主外，女主内	nán zhǔ wài , nǚ zhǔ nèi	men go out to work and women stay at home (idiom)
界內球	界内球	jiè nèi qiú	ball within bounds (sports)/in/fair ball (baseball)
白內障	白内障	bái nèi zhàng	cataract (ophthalmology)
皇族內閣	皇族内阁	Huáng zú nèi gé	Qing emergency cabinet set up in May 1911 to confront the Xinhai rebels
竹內	竹内	Zhú nèi	Takeuchi (Japanese surname)
糙面內質網	糙面内质网	cāo miàn nèi zhì wǎng	rough endoplasmic reticulum
約翰內斯堡	约翰内斯堡	Yuē hàn nèi sī bǎo	Johannesburg, South Africa
紐幾內亞	纽几内亚	Niǔ Jī nèi yà	New Guinea/Papua-New Guinea
腦內啡	脑内啡	nǎo nèi fēi	endorphin
臥內	卧内	wò nèi	bedroom
色厲內荏	色厉内荏	sè lì nèi rěn	lit. show strength while weak inside (idiom); appearing fierce while cowardly at heart/a sheep in wolf's clothing
艾哈邁迪內賈德	艾哈迈迪内贾德	Ài hā mài dí nèi jiǎ dé	Ahmadinejad or Ahmadinezhad (Persian name)/Mahmoud Ahmadinejad (1956-), Iranian fundamentalist politician, president of Iran 2005-2013
莫內	莫内	Mò nèi	Taiwan equivalent of 莫奈[Mò nài]
蒙特內哥羅	蒙特内哥罗	Méng tè nèi gē luó	Montenegro (Tw)
衙內	衙内	yá nèi	child of an official/palace bodyguard
貝內特	贝内特	Bèi nèi tè	Bennett (surname)
賢內助	贤内助	xián nèi zhù	(said of sb else's wife) a good wife
賤內	贱内	jiàn nèi	my wife (humble)
赤道幾內亞	赤道几内亚	Chì dào Jī nèi yà	Equatorial Guinea
走內線	走内线	zǒu nèi xiàn	insider contacts/via private channels/to seek influence with sb via family members (possibly dishonest or underhand)
里約熱內盧	里约热内卢	Lǐ yuē rè nèi lú	Rio de Janeiro
重形式輕內容	重形式轻内容	zhòng xíng shì qīng nèi róng	heavy on form, light on substance/to stress form at the expense of content
鋒芒內斂	锋芒内敛	fēng máng nèi liǎn	to be talented yet self-effacing (idiom)
雞內金	鸡内金	jī nèi jīn	chicken gizzard lining
馬斯內	马斯内	Mǎ sī nèi	Jules Massenet (1842-1912), French composer
馮內果	冯内果	Féng nèi guǒ	Kurt Vonnegut, Jr. (1922-2007), US writer
體內	体内	tǐ nèi	within the body/in vivo (vs in vitro)/internal to
黃帝內經	黄帝内经	Huáng dì Nèi jīng	The Yellow Emperor's Internal Canon, medical text c. 300 BC
黨內	党内	dǎng nèi	within the party (esp. Chinese communist party)
齊內丁·齊達內	齐内丁·齐达内	Qí nèi dīng · Qí dá nèi	Zinedine Zidane (Zizou), a past French soccer player
