	Pinyin	Definition	Radical	Stroke count	HSK level	General Standard#	Frequency rank
钥	yào	key; lock	金 167.4	9	4	1531	2481
胳	gē	armpit, arms	肉 130.6	10	4	1997	2490
咸	xián	together; all, completely; united	口 30.6	9	4	1443	2525
汁	zhī	juice, liquor, fluid, sap, gravy, sauce	水 85.2	5	4	308	2540
垃	lā	garbage, refuse, waste	土 32.5	8	4	980	2628
烤	kǎo	bake, roast, toast, cook	火 86.6	10	4	2057	2629
圾	jī	garbage, rubbish; shaking; danger	土 32.4	6	4	362	2634
逛	guàng	ramble, stroll, roam, wander	辵 162.7	10	4	2003	2642
膏	gāo	grease, fat; paste, ointment	肉 130.10	14	4	3142	2673
羡	xiàn	envy, admire; praise; covet	羊 123.6	12	4	2740	2732
暑	shǔ	hot	日 72.8	12	4	2613	2743
嗽	sòu	cough, gargle, clear throat	口 30.11	14	4	3103	2815
橡	xiàng	chestnut oak; rubber tree; rubber	木 75.12	15	4	3216	2871
厕	cè	mingle with; toilet, lavatory	厂 27.6	8	4	1047	2920
袜	wà	socks, stockings	衣 145.5	10	4	2115	3045
勺	sháo	spoon, ladle; unit of volume	勹 20.1	3	4	49	3275
柿	shì	persimmon	木 75.5	9	4	1436	3355
乒	pīng	used with pong for ping pong	丿 4.5	6	4	456	3447
乓	pāng	used with ping for ping pong	丿 4.5	6	4	457	3502
饺	jiǎo	stuffed dumplings	食 184.6	9	4	1613	3650
军	jūn	army, military; soldiers, troops	車 159.2	6	5	552	102
战	zhàn	war, fighting, battle	戈 62.5	9	5	1468	145
政	zhèng	government, political affairs	攴 66.4	9	5	1376	150
产	chǎn	give birth, bring forth, produce	立 117.1	6	5	522	159
制	zhì	system; establish; overpower	刀 18.6	8	5	1121	163
代	dài	replace, replacement (of person or generation); era, generation	人 9.3	5	5	271	174
立	lì	stand; let stand; establish, set	立 117.0	5	5	302	197
义	yì	right conduct, righteousness	丿 4.2	3	5	57	208
神	shén	spirit, god, supernatural being	示 113.5	9	5	1711	227
德	dé	ethics, morality, virtue	彳 60.12	15	5	3272	256
统	tǒng	govern, command, control; unite	糸 120.6	9	5	1765	264
形	xíng	form, shape, appearance	彡 59.4	7	5	604	269
治	zhì	govern, regulate, administer	水 85.5	8	5	1264	274
达	dá	arrive at, reach; intelligent; smooth, slippery	辵 162.3	6	5	398	289
强	qiáng	strong, powerful, energetic	弓 57.9	12	5	2802	292
权	quán	power, right, authority	木 75.2	6	5	378	297
王	wáng	king, ruler; royal; surname	玉 96.0	4	5	75	299
设	shè	build; establish; display	言 149.4	6	5	560	302
品	pǐn	article, product, commodity	口 30.6	9	5	1503	308
类	lèi	class, group, kind, category	大 37.6	9	5	1646	311
领	lǐng	neck; collar; lead, guide	頁 181.5	11	5	2354	329
造	zào	construct, build, make, begin; prepare	辵 162.7	10	5	1940	354
组	zǔ	class; section, department	糸 120.5	8	5	1338	358
英	yīng	petal, flower, leaf; brave, a hero; England, English	艸 140.5	8	5	1006	371
令	lìng		人 9.3	5	5	282	378
布	bù	cotton cloth, textiles, linen	巾 50.2	5	5	218	380
未	wèi	not yet; 8th terrestrial branch	木 75.1	5	5	192	385
击	jī	strike, hit, beat; attack, fight	凵 17.3	5	5	195	395
兵	bīng	soldier, troops	八 12.5	7	5	768	398
团	tuán	sphere, ball, circle; mass, lump	囗 31.3	6	5	425	405
集	jí	assemble, collect together	隹 172.4	12	5	2694	406
华	huá	flowery; illustrious; Chinese	十 24.4	6	5	472	412
石	shí	stone, rock, mineral; rad. 112	石 112.0	5	5	216	414
府	fǔ	prefecture; prefect; government	广 53.5	8	5	1211	417
似	shì	resemble, similar to; as if, seem	人 9.5	6	5	481	431
官	guān	official, public servant	宀 40.5	8	5	1281	432
器	qì	receptacle, vessel; instrument	口 30.13	16	5	3348	441
